title,year,authors,journal,doi,,,,,,
The Function of Eyespot Patterns in the Lepidoptera,1957,"Blest, A.D.",Behaviour,10.1163/156853956X00048,,,,,,
Reactions of male domestic chicks to two-dimensional eye-like shapes,1980,"Jones, R.B.",Animal Behaviour,10.1016/S0003-3472(80)80025-X,,,,,,
The Feeding Behaviour of Starlings (Sturnus vulgaris) in the Presence of ‘Eyes’,1983,"Inglis, I.R. and Huson, L.W. and Marshall, M.B. and Neville, P.A.",Zeitschrift für Tierpsychologie,10.1111/j.1439-0310.1983.tb02151.x,,,,,,
Butterfly wing markings are more advantageous during handling than during the initial strike of an avian predator.,1985,"Wourms, M.K. and Wasserman, F.E.",Evolution,10.1111/j.1558-5646.1985.tb00426.x,,,,,,
Significance of butterfly eyespots as an anti-predator device in ground-based and aerial attacks,2003,"Lyytinen, A. and Brakefieid, P.M. and Mappes, J.",Oikos,10.1034/j.1600-0706.2003.11935.x,,,,,,
Does predation maintain eyespot plasticity in Bicyclus anynana?,2004,"Lyytinen, A. and Brakefield, P.M. and Lindström, L. and Mappes, J.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2003.2571,,,,,,
"Asymmetry in size, shape, and color impairs the protective value of conspicuous color patterns",2004,"Forsman, A. and Herretröm, J.",Behavioral Ecology,10.1093/beheco/arg092,,,,,,
Prey survival by predator intimidation: an experimental study of peacock butterfly defence against blue tits,2005,"Vallin, A and Jakobsson, S and Lind, J and Wiklund, C",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2004.3034,,,,,,
Field experiments on the effectiveness of 'eyespots' as predator deterrents,2007,"Stevens, M. and Hopkins, E. and Hinde, W. and Adcock, A. and Connolly, Y. and Troscianko, T. and Cuthill, I.C.",Animal Behaviour,10.1016/j.anbehav.2007.01.031,,,,,,
The anti-predator function of 'eyespots' on camouflaged and conspicuous prey,2008,"Stevens, M. and Stubbins, C.L. and Hardman, C.J.",Behavioral Ecology and Sociobiology,10.1007/s00265-008-0607-3,,,,,,
"Conspicuousness, not eye mimicry, makes ""eyespots"" effective antipredator signals",2008,"Stevens, M. and Hardman, C.J. and Stubbins, C.L.",Behavioral Ecology,10.1093/beheco/arm162,,,,,,
"The protective value of conspicuous signals is not impaired by shape, size, or position asymmetry",2009,"Stevens, M. and Castor-Perry, S.A. and Price, J.R.F.",Behavioral Ecology,10.1093/beheco/arn119,,,,,,
The function of animal 'eyespots': Conspicuousness but not eye mimicry is key,2009,"Stevens, M. and Cantor, A. and Graham, J. and Winney, I.S.",Current Zoology,10.1093/czoolo/55.5.319,,,,,,
Fixed eyespot display in a butterfly thwarts attacking birds,2009,"Kodandaramaiah, U. and Vallin, A. and Wiklund, C.",Animal Behaviour,10.1016/j.anbehav.2009.02.018,,,,,,
Can we use starlings' aversion to eyespots as the basis for a novel 'cognitive bias' task?,2009,"Brilot, B.O. and Normandale, C.L. and Parkin, A. and Bateson, M.",Applied Animal Behaviour Science,10.1016/j.applanim.2009.02.015,,,,,,
Constant eyespot display as a primary defence-survival of male and female emperor moths attacked by blue tits,2010,"Vallin, A. and Sven J. and Christer W.",The Journal of Research on the Lepidoptera,10.5962/p.266504,,,,,,
Deflective effect and the effect of prey detectability on anti-predator function of eyespots,2011,"Vallin, A. and Dimitrova, M. and Kodandaramaiah, U. and Merilaita, S.",Behavioral Ecology and Sociobiology,10.1007/s00265-011-1173-7,,,,,,33
Number of eyespots and their intimidating effect on naïve predators in the peacock butterfly,2011,"Merilaita, S. and Vallin, A. and Kodandaramaiah, U. and Dimitrova, M. and Ruuskanen, S. and Laaksonen, T.",Behavioral Ecology,10.1093/beheco/arr135,,,,,,23
The 'sparkle' in fake eyes - the protective effect of mimic eyespots in lepidoptera,2012,"Blut, C. and Wilbrandt, J. and Fels, D. and Girgel, E.I. and Lunau, K.",Entomologia Experimentalis et Applicata,10.1111/j.1570-7458.2012.01260.x,,,,,,
Eyespots interact with body colour to protect caterpillar-like prey from avian predators,2012,"Hossie, T.J. and Sherratt, T.N.",Animal Behaviour,10.1016/j.anbehav.2012.04.027,,,,,,
Bird attacks on a butterfly with marginal eyespots and the role of prey concealment against the background,2013,"Olofsson, M and Jakobsson, S and Wiklund, C",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/bij.12063,,,,,,
Defensive posture and eyespots deter avian predators from attacking caterpillar models,2013,"Hossie, TJ and Sherratt, TN",ANIMAL BEHAVIOUR,10.1016/j.anbehav.2013.05.029,,,,,,
Revealed by conspicuousness: distractive markings reduce camouflage,2013,"Stevens, M and Marshall, KLA and Troscianko, J and Finlay, S and Burnand, D and Chadwick, SL",BEHAVIORAL ECOLOGY,10.1093/beheco/ars156,,,,,,
Eyespot display in the peacock butterfly triggers antipredator behaviors in naïve adult fowl,2013,"Olofsson, M. and Lovlie, H. and Tibblin, J. and Jakobsson, S. and Wiklund, C.",Behavioral Ecology,10.1093/beheco/ars167,,,,,,
The position of eyespots and thickened segments influence their protective value to caterpillars,2014,"Skelhorn, J. and Dorrington, G. and Hossie, T.J. and Sherratt, T.N.",Behavioral Ecology,10.1093/beheco/aru154,,,,,,
"Predator mimicry, not conspicuousness, explains the efficacy of butterfly eyespots",2015,"De Bona, S. and Valkonen, J.K. and López-Sepulcre, A. and Mappes, J.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2015.0202,,,,,,
Body size affects the evolution of eyespots in caterpillars,2015,"Hossie, T.J. and Skelhorn, J. and Breinholt, J.W. and Kawahara, A.Y. and Sherratt, T.N.",Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1415121112,,,,,,
What makes eyespots intimidating-the importance of pairedness Evolutionary ecology and behaviour,2015,"Mukherjee, R. and Kodandaramaiah, U.",BMC Evolutionary Biology,10.1186/s12862-015-0307-3,,,,,,
On the deterring effect of a butterfly's eyespot in juvenile and sub-adult chickens,2015,"Olofsson, M and Wiklund, C and Favati, A",CURRENT ZOOLOGY,10.1093/czoolo/61.4.749,,,,,,
Multicomponent deceptive signals reduce the speed at which predators learn that prey are profitable,2016,"Skelhorn, J. and Holmes, G.G. and Hossie, T.J. and Sherratt, T.N.",Behavioral Ecology,10.1093/beheco/arv135,,,,,,
Attack risk for butterflies changes with eyespot number and size,2016,"Ho, S. and Schachat, S.R. and Piel, W.H. and Monteiro, A.",Royal Society Open Science,10.1098/rsos.150614,,,,,,
The effectiveness of eyespots and masquerade in protecting artificial prey across ontogenetic and seasonal shifts,2022,"Postema, E.G.",Current Zoology,10.1093/cz/zoab082,,,,,,
Anti-predator adaptations and strategies in the Lepidoptera,2012,"de Wert, Leoni",doctorial thesis,none,,,,,,